Name,Age,Email,Password,Credit Card,SSN,annual Income,State,phone number,Experience,Starting Date,department,Job Title,DOB
John Doe,30,john@example.com,13u3i2hj,1234-5678-9101-1121,123-45-6789,"100,000",TN,456-689-1029,8,11/11/2025,Sales,Sales Manager,8/15/1993
Jane Smith,25,jane@example.com,32kj4hkbj,3141-5161-7181-9202,011-12-1314,"150,000",WA,231-232-9399,3,12/10/2025,Marketing,Marketing Coordinator,9/10/1998
Robert Johnson,40,rjohnson@example.com,r0b3rt!J,5678-1234-9012-3456,222-33-4444,"200,000",CA,555-123-4567,15,1/5/2026,Engineering,Software Engineer,3/12/1983
Emily Davis,28,edavis@example.com,Em!ly28,4321-8765-1098-7654,333-44-5555,"120,000",NY,212-555-1234,5,2/20/2026,HR,HR Specialist,7/1/1995
Michael Brown,35,mbrown@example.com,,9876-5432-1098-7654,444-55-6666,"180,000",TX,713-555-6789,,3/15/2026,Finance,Financial Analyst,11/11/1988
Sarah Wilson,,swilson@example.com,S@r@h321,2468-1357-9024-6810,555-66-7777,"130,000",FL,305-555-7890,7,4/1/2026,IT,IT Support Specialist,4/22/1991
David Lee,45,dlee@example.com,D@v1d45,1357-2468-3579-4680,666-77-8888,"250,000",IL,312-555-2345,20,5/10/2026,Management,Operations Manager,2/28/1978
Linda Martinez,38,lmartinez@example.com,L!nda38,1122-3344-5566-7788,777-88-9999,"160,000",AZ,602-555-3456,12,6/5/2026,Customer Service,Customer Success Manager,12/5/1985
William Garcia,29,,W!llG29,9988-7766-5544-3322,888-99-0000,"110,000",CO,,4,7/15/2026,Research,Data Analyst,10/10/1994
Jessica Miller,27,jmiller@example.com,J3ssM!27,8877-6655-4433-2211,999-00-1111,"105,000",PP,248-555-5678,3,8/20/2026,Marketing,Content Strategist,6/15/1996
John Doe,30,john@example.com,13u3i2hj,1234-5678-9101-1121,123-45-6789,"100,000",TN,456-689-1029,8,11/11/2025,Sales,Sales Manager,8/15/1993
Michael Brown,35,mbrown@example.com,,9876-5432-1098-7654,444-55-6666,"180,000",TX,713-555-6789,,3/15/2026,Finance,Financial Analyst,11/11/1988
